MeasurementName	MeasurementUnit	Sex	AgeMin	AgeMax	Percentile	Value
Weight	lb	Male	80	99	2	117.92071456
Weight	lb	Female	0	18	2.1	11.963149968
Weight	lb	Female	18	25	2.1	94.8317293
Weight	lb	Female	26	35	2.1	98.755071052
Weight	lb	Female	36	45	2.1	107.747716032
Weight	lb	Female	46	55	2.1	104.511554334
Weight	lb	Female	56	65	2.1	104.011105594
Weight	lb	Female	66	79	2.1	106.69809645
Weight	lb	Female	80	99	2.1	96.898119626
Weight	lb	Male	0	18	2.1	13.332659912
Weight	lb	Male	18	25	2.1	114.413605064
Weight	lb	Male	26	35	2.1	127.19114166
Weight	lb	Male	36	45	2.1	129.139584816
Weight	lb	Male	46	55	2.1	128.100767872
Weight	lb	Male	56	65	2.1	123.783019602
Weight	lb	Male	66	79	2.1	123.199456688
Weight	lb	Male	80	99	2.1	118.040645888
Weight	lb	Female	0	18	2.2	12.345872
Weight	lb	Female	18	25	2.2	95.0852606
Weight	lb	Female	26	35	2.2	99.674397592
Weight	lb	Female	36	45	2.2	107.932904112
Weight	lb	Female	46	55	2.2	104.669625588
Weight	lb	Female	56	65	2.2	104.477382724
Weight	lb	Female	66	79	2.2	107.20846598
Weight	lb	Female	80	99	2.2	96.956101132
Weight	lb	Male	0	18	2.2	13.668644
Weight	lb	Male	18	25	2.2	114.927722448
Weight	lb	Male	26	35	2.2	128.78949116
Weight	lb	Male	36	45	2.2	129.273625712
Weight	lb	Male	46	55	2.2	128.395305104
Weight	lb	Male	56	65	2.2	124.323371964
Weight	lb	Male	66	79	2.2	123.721510704
Weight	lb	Male	80	99	2.2	118.160577216
Weight	lb	Female	0	18	2.3	12.441111584
Weight	lb	Female	18	25	2.3	95.239584
Weight	lb	Female	26	35	2.3	100.353641014
Weight	lb	Female	36	45	2.3	108.02638
Weight	lb	Female	46	55	2.3	104.71945
Weight	lb	Female	56	65	2.3	104.825492222
Weight	lb	Female	66	79	2.3	107.36168707
Weight	lb	Female	80	99	2.3	97.035687914
Weight	lb	Male	0	18	2.3	13.889106
Weight	lb	Male	18	25	2.3	115.98285358
Weight	lb	Male	26	35	2.3	129.05184094
Weight	lb	Male	36	45	2.3	129.407666608
Weight	lb	Male	46	55	2.3	128.529346
Weight	lb	Male	56	65	2.3	126.607578746
Weight	lb	Male	66	79	2.3	123.883770736
Weight	lb	Male	80	99	2.3	118.44982336
Weight	lb	Female	0	18	2.4	12.786796
Weight	lb	Female	18	25	2.4	95.239584
Weight	lb	Female	26	35	2.4	100.775825744
Weight	lb	Female	36	45	2.4	108.02638
Weight	lb	Female	46	55	2.4	104.765306096
Weight	lb	Female	56	65	2.4	105.012223536
Weight	lb	Female	66	79	2.4	107.66482232
Weight	lb	Female	80	99	2.4	97.209632432
Weight	lb	Male	0	18	2.4	14.009037328
Weight	lb	Male	18	25	2.4	117.26814704
Weight	lb	Male	26	35	2.4	129.190732
Weight	lb	Male	36	45	2.4	130.06376152
Weight	lb	Male	46	55	2.4	128.543455568
Weight	lb	Male	56	65	2.4	127.340614896
Weight	lb	Male	66	79	2.4	124.192417536
Weight	lb	Male	80	99	2.4	118.74965168
Weight	lb	Female	0	18	2.5	12.786796
Weight	lb	Female	18	25	2.5	95.48760375
Weight	lb	Female	26	35	2.5	100.93301515
Weight	lb	Female	36	45	2.5	108.3350268
Weight	lb	Female	46	55	2.5	104.92337735
Weight	lb	Female	56	65	2.5	105.2375357
Weight	lb	Female	66	79	2.5	107.88859125
Weight	lb	Female	80	99	2.5	97.38357695
Weight	lb	Male	0	18	2.5	14.33003
Weight	lb	Male	18	25	2.5	117.91961225
Weight	lb	Male	26	35	2.5	129.190732
Weight	lb	Male	36	45	2.5	130.5575964
Weight	lb	Male	46	55	2.5	128.8379928
Weight	lb	Male	56	65	2.5	127.6144287
Weight	lb	Male	66	79	2.5	124.5169376
Weight	lb	Male	80	99	2.5	119.04948
Weight	lb	Female	0	18	2.6	13.007258
Weight	lb	Female	18	25	2.6	95.8679007
Weight	lb	Female	26	35	2.6	101.327421668
Weight	lb	Female	36	45	2.6	108.557252496
Weight	lb	Female	46	55	2.6	105.506058416
Weight	lb	Female	56	65	2.6	105.606148164
Weight	lb	Female	66	79	2.6	108.02638
Weight	lb	Female	80	99	2.6	97.557521468
Weight	lb	Male	0	18	2.6	14.550492
Weight	lb	Male	18	25	2.6	118.457759992
Weight	lb	Male	26	35	2.6	129.50158342
Weight	lb	Male	36	45	2.6	130.691637296
