MeasurementName,MeasurementUnit,Sex,AgeMin,AgeMax,Percentile,Value
Weight,lb,Male,80,99,1.7,115.6543652
Weight,lb,Female,0,18,1.8,11.684486
Weight,lb,Female,18,25,1.8,93.3325877
Weight,lb,Female,26,35,1.8,98.28945531
Weight,lb,Female,36,45,1.8,106.0933692
Weight,lb,Female,46,55,1.8,103.5342463
Weight,lb,Female,56,65,1.8,102.51483
Weight,lb,Female,66,79,1.8,104.8318856
Weight,lb,Female,80,99,1.8,96.60688932
Weight,lb,Male,0,18,1.8,12.566334
Weight,lb,Male,18,25,1.8,112.4329745
Weight,lb,Male,26,35,1.8,125.222416
Weight,lb,Male,36,45,1.8,127.6228063
Weight,lb,Male,46,55,1.8,125.7003776
Weight,lb,Male,56,65,1.8,122.6937169
Weight,lb,Male,66,79,1.8,121.1429872
Weight,lb,Male,80,99,1.8,117.1535068
Weight,lb,Female,0,18,1.9,11.904948
Weight,lb,Female,18,25,1.9,93.45935335
Weight,lb,Female,26,35,1.9,98.326052
Weight,lb,Female,36,45,1.9,106.7609281
Weight,lb,Female,46,55,1.9,103.8918357
Weight,lb,Female,56,65,1.9,102.6378478
Weight,lb,Female,66,79,1.9,105.1658856
Weight,lb,Female,80,99,1.9,96.78083384
Weight,lb,Male,0,18,1.9,12.786796
Weight,lb,Male,18,25,1.9,112.774911
Weight,lb,Male,26,35,1.9,125.3568978
Weight,lb,Male,36,45,1.9,128.3776681
Weight,lb,Male,46,55,1.9,126.7312579
Weight,lb,Male,56,65,1.9,123.2483993
Weight,lb,Male,66,79,1.9,121.4675072
Weight,lb,Male,80,99,1.9,117.8007832
Weight,lb,Female,0,18,2,11.904948
Weight,lb,Female,18,25,2,94.137274
Weight,lb,Female,26,35,2,98.44069224
Weight,lb,Female,36,45,2,107.4355418
Weight,lb,Female,46,55,2,104.2079782
Weight,lb,Female,56,65,2,103.7582357
Weight,lb,Female,66,79,2,105.931991
Weight,lb,Female,80,99,2,96.84013812
Weight,lb,Male,0,18,2,13.13071672
Weight,lb,Male,18,25,2,113.6746164
Weight,lb,Male,26,35,2,125.6192476
Weight,lb,Male,36,45,2,129.0055439
Weight,lb,Male,46,55,2,127.5240393
Weight,lb,Male,56,65,2,123.5336771
Weight,lb,Male,66,79,2,122.4269578
Weight,lb,Male,80,99,2,117.9207146
Weight,lb,Female,0,18,2.1,11.96314997
Weight,lb,Female,18,25,2.1,94.8317293
Weight,lb,Female,26,35,2.1,98.75507105
Weight,lb,Female,36,45,2.1,107.747716
Weight,lb,Female,46,55,2.1,104.5115543
Weight,lb,Female,56,65,2.1,104.0111056
Weight,lb,Female,66,79,2.1,106.6980965
Weight,lb,Female,80,99,2.1,96.89811963
Weight,lb,Male,0,18,2.1,13.33265991
Weight,lb,Male,18,25,2.1,114.4136051
Weight,lb,Male,26,35,2.1,127.1911417
Weight,lb,Male,36,45,2.1,129.1395848
Weight,lb,Male,46,55,2.1,128.1007679
Weight,lb,Male,56,65,2.1,123.7830196
Weight,lb,Male,66,79,2.1,123.1994567
Weight,lb,Male,80,99,2.1,118.0406459
Weight,lb,Female,0,18,2.2,12.345872
Weight,lb,Female,18,25,2.2,95.0852606
Weight,lb,Female,26,35,2.2,99.67439759
Weight,lb,Female,36,45,2.2,107.9329041
Weight,lb,Female,46,55,2.2,104.6696256
Weight,lb,Female,56,65,2.2,104.4773827
Weight,lb,Female,66,79,2.2,107.208466
Weight,lb,Female,80,99,2.2,96.95610113
Weight,lb,Male,0,18,2.2,13.668644
Weight,lb,Male,18,25,2.2,114.9277224
Weight,lb,Male,26,35,2.2,128.7894912
Weight,lb,Male,36,45,2.2,129.2736257
Weight,lb,Male,46,55,2.2,128.3953051
Weight,lb,Male,56,65,2.2,124.323372
Weight,lb,Male,66,79,2.2,123.7215107
Weight,lb,Male,80,99,2.2,118.1605772
Weight,lb,Female,0,18,2.3,12.44111158
Weight,lb,Female,18,25,2.3,95.239584
Weight,lb,Female,26,35,2.3,100.353641
Weight,lb,Female,36,45,2.3,108.02638
Weight,lb,Female,46,55,2.3,104.71945
Weight,lb,Female,56,65,2.3,104.8254922
Weight,lb,Female,66,79,2.3,107.3616871
Weight,lb,Female,80,99,2.3,97.03568791
Weight,lb,Male,0,18,2.3,13.889106
Weight,lb,Male,18,25,2.3,115.9828536
Weight,lb,Male,26,35,2.3,129.0518409
Weight,lb,Male,36,45,2.3,129.4076666
Weight,lb,Male,46,55,2.3,128.529346
Weight,lb,Male,56,65,2.3,126.6075787
Weight,lb,Male,66,79,2.3,123.8837707
Weight,lb,Male,80,99,2.3,118.4498234
Weight,lb,Female,0,18,2.4,12.786796
Weight,lb,Female,18,25,2.4,95.239584
Weight,lb,Female,26,35,2.4,100.7758257
Weight,lb,Female,36,45,2.4,108.02638
Weight,lb,Female,46,55,2.4,104.7653061
Weight,lb,Female,56,65,2.4,105.0122235
Weight,lb,Female,66,79,2.4,107.6648223
Weight,lb,Female,80,99,2.4,97.20963243
Weight,lb,Male,0,18,2.4,14.00903733
Weight,lb,Male,18,25,2.4,117.268147
Weight,lb,Male,26,35,2.4,129.190732
Weight,lb,Male,36,45,2.4,130.0637615
Weight,lb,Male,46,55,2.4,128.5434556
Weight,lb,Male,56,65,2.4,127.3406149
Weight,lb,Male,66,79,2.4,124.1924175
Weight,lb,Male,80,99,2.4,118.7496517
Weight,lb,Female,0,18,2.5,12.786796
Weight,lb,Female,18,25,2.5,95.48760375
Weight,lb,Female,26,35,2.5,100.9330152
Weight,lb,Female,36,45,2.5,108.3350268
Weight,lb,Female,46,55,2.5,104.9233774
Weight,lb,Female,56,65,2.5,105.2375357
Weight,lb,Female,66,79,2.5,107.8885913
Weight,lb,Female,80,99,2.5,97.38357695
Weight,lb,Male,0,18,2.5,14.33003
Weight,lb,Male,18,25,2.5,117.9196123
Weight,lb,Male,26,35,2.5,129.190732
Weight,lb,Male,36,45,2.5,130.5575964
Weight,lb,Male,46,55,2.5,128.8379928
Weight,lb,Male,56,65,2.5,127.6144287
Weight,lb,Male,66,79,2.5,124.5169376
Weight,lb,Male,80,99,2.5,119.04948
Weight,lb,Female,0,18,2.6,13.007258
Weight,lb,Female,18,25,2.6,95.8679007
Weight,lb,Female,26,35,2.6,101.3274217
Weight,lb,Female,36,45,2.6,108.5572525
Weight,lb,Female,46,55,2.6,105.5060584
Weight,lb,Female,56,65,2.6,105.6061482
Weight,lb,Female,66,79,2.6,108.02638
Weight,lb,Female,80,99,2.6,97.55752147
Weight,lb,Male,0,18,2.6,14.550492
Weight,lb,Male,18,25,2.6,118.45776
Weight,lb,Male,26,35,2.6,129.5015834
Weight,lb,Male,36,45,2.6,130.6916373
Weight,lb,Male,46,55,2.6,129.21366
Weight,lb,Male,56,65,2.6,127.9213118
Weight,lb,Male,66,79,2.6,124.781492
Weight,lb,Male,80,99,2.6,119.4128014
Weight,lb,Female,0,18,2.7,13.007258
Weight,lb,Female,18,25,2.7,96.01671255
Weight,lb,Female,26,35,2.7,101.9649978
Weight,lb,Female,36,45,2.7,108.7644868
Weight,lb,Female,46,55,2.7,106.375781
Weight,lb,Female,56,65,2.7,105.7928795
Weight,lb,Female,66,79,2.7,108.02638
Weight,lb,Female,80,99,2.7,97.73146599
Weight,lb,Male,0,18,2.7,14.770954
Weight,lb,Male,18,25,2.7,118.7148187
Weight,lb,Male,26,35,2.7,129.866448
Weight,lb,Male,36,45,2.7,130.8256782
Weight,lb,Male,46,55,2.7,129.6475293
Weight,lb,Male,56,65,2.7,128.1274438
Weight,lb,Male,66,79,2.7,124.781492
Weight,lb,Male,80,99,2.7,119.9524924
Weight,lb,Female,0,18,2.8,13.007258
Weight,lb,Female,18,25,2.8,96.2096168
Weight,lb,Female,26,35,2.8,102.9081342
Weight,lb,Female,36,45,2.8,109.2327481
Weight,lb,Female,46,55,2.8,107.4152593
Weight,lb,Female,56,65,2.8,106.1374616
Weight,lb,Female,66,79,2.8,108.1277925
Weight,lb,Female,80,99,2.8,97.9054105
Weight,lb,Male,0,18,2.8,14.98788861
Weight,lb,Male,18,25,2.8,119.0433071
Weight,lb,Male,26,35,2.8,129.9976229
Weight,lb,Male,36,45,2.8,130.9650102
Weight,lb,Male,46,55,2.8,129.9420665
Weight,lb,Male,56,65,2.8,128.6677961
Weight,lb,Male,66,79,2.8,124.9155329
Weight,lb,Male,80,99,2.8,120.4921833
Weight,lb,Female,0,18,2.9,13.22772
Weight,lb,Female,18,25,2.9,96.7166794
Weight,lb,Female,26,35,2.9,103.4035123
Weight,lb,Female,36,45,2.9,109.5837236
Weight,lb,Female,46,55,2.9,107.8894731
Weight,lb,Female,56,65,2.9,107.0074046
Weight,lb,Female,66,79,2.9,108.246842
Weight,lb,Female,80,99,2.9,98.07935502
Weight,lb,Male,0,18,2.9,14.991416
Weight,lb,Male,18,25,2.9,119.4288951
Weight,lb,Male,26,35,2.9,130.07258
Weight,lb,Male,36,45,2.9,131.233092
Weight,lb,Male,46,55,2.9,130.1545919
Weight,lb,Male,56,65,2.9,129.0553683
Weight,lb,Male,66,79,2.9,125.001954
Weight,lb,Male,80,99,2.9,121.0318743
Weight,lb,Female,0,18,3,13.22772
Weight,lb,Female,18,25,3,97.113511
Weight,lb,Female,26,35,3,103.61714
Weight,lb,Female,36,45,3,109.790076
Weight,lb,Female,46,55,3,108.2512512
Weight,lb,Female,56,65,3,107.585456
Weight,lb,Female,66,79,3,108.246842
Weight,lb,Female,80,99,3,98.25329954
Weight,lb,Male,0,18,3,15.211878
Weight,lb,Male,18,25,3,119.7064568
Weight,lb,Male,26,35,3,130.07258
Weight,lb,Male,36,45,3,131.5011738
Weight,lb,Male,46,55,3,130.3018605
Weight,lb,Male,56,65,3,129.3031676
Weight,lb,Male,66,79,3,125.019591
Weight,lb,Male,80,99,3,121.3246478
Weight,lb,Female,0,18,3.1,13.25064805
Weight,lb,Female,18,25,3.1,97.3670423
Weight,lb,Female,26,35,3.1,103.6625552
Weight,lb,Female,36,45,3.1,109.790076
Weight,lb,Female,46,55,3.1,108.7175284
Weight,lb,Female,56,65,3.1,107.6421147
Weight,lb,Female,66,79,3.1,108.3669938
Weight,lb,Female,80,99,3.1,98.39351337
Weight,lb,Male,0,18,3.1,15.43234
Weight,lb,Male,18,25,3.1,119.931328
Weight,lb,Male,26,35,3.1,130.7593191
Weight,lb,Male,36,45,3.1,131.7692556
Weight,lb,Male,46,55,3.1,130.4491291
Weight,lb,Male,56,65,3.1,129.411194
Weight,lb,Male,66,79,3.1,125.181851
Weight,lb,Male,80,99,3.1,121.4445792
Weight,lb,Female,0,18,3.2,13.59985986
Weight,lb,Female,18,25,3.2,97.5323888
Weight,lb,Female,26,35,3.2,103.976934
Weight,lb,Female,36,45,3.2,109.790076
Weight,lb,Female,46,55,3.2,109.5078846
Weight,lb,Female,56,65,3.2,107.828846
Weight,lb,Female,66,79,3.2,108.467304
Weight,lb,Female,80,99,3.2,98.50947638
Weight,lb,Male,0,18,3.2,15.58578155
Weight,lb,Male,18,25,3.2,119.931328
Weight,lb,Male,26,35,3.2,131.6775434
Weight,lb,Male,36,45,3.2,132.3389294
Weight,lb,Male,46,55,3.2,130.5963977
Weight,lb,Male,56,65,3.2,129.5699266
Weight,lb,Male,66,79,3.2,125.222416
Weight,lb,Male,80,99,3.2,121.5645105
Weight,lb,Female,0,18,3.3,13.94907166
Weight,lb,Female,18,25,3.3,97.65915445
Weight,lb,Female,26,35,3.3,104.8744348
Weight,lb,Female,36,45,3.3,109.9505723
Weight,lb,Female,46,55,3.3,109.8610648
Weight,lb,Female,56,65,3.3,108.0155774
Weight,lb,Female,66,79,3.3,108.467304
Weight,lb,Female,80,99,3.3,98.6254394
Weight,lb,Male,0,18,3.3,15.652802
Weight,lb,Male,18,25,3.3,119.931328
Weight,lb,Male,26,35,3.3,132.5957676
Weight,lb,Male,36,45,3.3,132.9950243
Weight,lb,Male,46,55,3.3,130.7533667
Weight,lb,Male,56,65,3.3,130.4705139
Weight,lb,Male,66,79,3.3,125.4128952
Weight,lb,Male,80,99,3.3,121.6844418
Weight,lb,Female,0,18,3.4,14.109568
Weight,lb,Female,18,25,3.4,97.9071742
Weight,lb,Female,26,35,3.4,105.6546498
Weight,lb,Female,36,45,3.4,110.231
Weight,lb,Female,46,55,3.4,110.1772073
Weight,lb,Female,56,65,3.4,108.2023087
Weight,lb,Female,66,79,3.4,108.7450861
Weight,lb,Female,80,99,3.4,98.74140241
Weight,lb,Male,0,18,3.4,15.873264
Weight,lb,Male,18,25,3.4,119.931328
Weight,lb,Male,26,35,3.4,133.2097543
Weight,lb,Male,36,45,3.4,133.5311879
Weight,lb,Male,46,55,3.4,131.0479039
Weight,lb,Male,56,65,3.4,130.8565429
Weight,lb,Male,66,79,3.4,125.8890931
Weight,lb,Male,80,99,3.4,121.8590477
Weight,lb,Female,0,18,3.5,14.109568
Weight,lb,Female,18,25,3.5,98.1607055
Weight,lb,Female,26,35,3.5,105.8118392
Weight,lb,Female,36,45,3.5,110.231
Weight,lb,Female,46,55,3.5,110.451462
Weight,lb,Female,56,65,3.5,108.246842
Weight,lb,Female,66,79,3.5,108.908228
Weight,lb,Female,80,99,3.5,98.99294955
Weight,lb,Male,0,18,3.5,15.873264
Weight,lb,Male,18,25,3.5,119.931328
Weight,lb,Male,26,35,3.5,133.3409292
Weight,lb,Male,36,45,3.5,133.9438927
Weight,lb,Male,46,55,3.5,131.2586656
Weight,lb,Male,56,65,3.5,131.4791276
Weight,lb,Male,66,79,3.5,126.0513531
Weight,lb,Male,80,99,3.5,122.0389447
Weight,lb,Female,0,18,3.6,14.33003
Weight,lb,Female,18,25,3.6,98.4142368
Weight,lb,Female,26,35,3.6,106.1162972
Weight,lb,Female,36,45,3.6,110.7689273
Weight,lb,Female,46,55,3.6,110.451462
Weight,lb,Female,56,65,3.6,108.3553093
Weight,lb,Female,66,79,3.6,108.9126372
Weight,lb,Female,80,99,3.6,99.28285708
Weight,lb,Male,0,18,3.6,16.093726
Weight,lb,Male,18,25,3.6,119.931328
Weight,lb,Male,26,35,3.6,133.5646981
Weight,lb,Male,36,45,3.6,134.2119745
