variable,gender,age_min,age_max,percentile,value
Weight,2,0,18,1.9,11.904948
Weight,2,18,25,1.9,93.45935335
Weight,2,26,35,1.9,98.326052
Weight,2,36,45,1.9,106.7609281
Weight,2,46,55,1.9,103.8918357
Weight,2,56,65,1.9,102.6378478
Weight,2,66,79,1.9,105.1658856
Weight,2,80,99,1.9,96.78083384
Weight,1,0,18,1.9,12.786796
Weight,1,18,25,1.9,112.774911
Weight,1,26,35,1.9,125.3568978
Weight,1,36,45,1.9,128.3776681
Weight,1,46,55,1.9,126.7312579
Weight,1,56,65,1.9,123.2483993
Weight,1,66,79,1.9,121.4675072
Weight,1,80,99,1.9,117.8007832
Weight,2,0,18,2,11.904948
Weight,2,18,25,2,94.137274
Weight,2,26,35,2,98.44069224
Weight,2,36,45,2,107.4355418
Weight,2,46,55,2,104.2079782
Weight,2,56,65,2,103.7582357
Weight,2,66,79,2,105.931991
Weight,2,80,99,2,96.84013812
Weight,1,0,18,2,13.13071672
Weight,1,18,25,2,113.6746164
Weight,1,26,35,2,125.6192476
Weight,1,36,45,2,129.0055439
Weight,1,46,55,2,127.5240393
Weight,1,56,65,2,123.5336771
Weight,1,66,79,2,122.4269578
Weight,1,80,99,2,117.9207146
Weight,2,0,18,2.1,11.96314997
Weight,2,18,25,2.1,94.8317293
Weight,2,26,35,2.1,98.75507105
Weight,2,36,45,2.1,107.747716
Weight,2,46,55,2.1,104.5115543
Weight,2,56,65,2.1,104.0111056
Weight,2,66,79,2.1,106.6980965
Weight,2,80,99,2.1,96.89811963
Weight,1,0,18,2.1,13.33265991
Weight,1,18,25,2.1,114.4136051
Weight,1,26,35,2.1,127.1911417
Weight,1,36,45,2.1,129.1395848
Weight,1,46,55,2.1,128.1007679
Weight,1,56,65,2.1,123.7830196
Weight,1,66,79,2.1,123.1994567
Weight,1,80,99,2.1,118.0406459
Weight,2,0,18,2.2,12.345872
Weight,2,18,25,2.2,95.0852606
Weight,2,26,35,2.2,99.67439759
