variable,gender,age_min,age_max,percentile,value
Height,2,36,45,2.4,58.3071181
Height,2,46,55,2.4,57.42617274
Height,2,56,65,2.4,57.3622357
Height,2,66,79,2.4,56.99562133
Height,2,80,99,2.4,56.56192031
Height,1,0,18,2.4,35.14584575
Height,1,18,25,2.4,63.18617585
Height,1,26,35,2.4,62.80822289
Height,1,36,45,2.4,62.60381333
Height,1,46,55,2.4,62.36601793
Height,1,56,65,2.4,62.66082124
Height,1,66,79,2.4,61.81641133
Height,1,80,99,2.4,61.10271016
Height,2,0,18,2.5,34.1732468
Height,2,18,25,2.5,58.30219684
Height,2,26,35,2.5,58.7195199
Height,2,36,45,2.5,58.3071181
Height,2,46,55,2.5,57.51085783
Height,2,56,65,2.5,57.3622357
Height,2,66,79,2.5,57.1260151
Height,2,80,99,2.5,56.58270772
Height,1,0,18,2.5,35.19293239
Height,1,18,25,2.5,63.25692392
Height,1,26,35,2.5,62.83172684
Height,1,36,45,2.5,62.65160864
Height,1,46,55,2.5,62.44491561
Height,1,56,65,2.5,62.72444332
Height,1,66,79,2.5,61.89767122
Height,1,80,99,2.5,61.12404876
Height,2,0,18,2.6,34.29371931
Height,2,18,25,2.6,58.41538588
Height,2,26,35,2.6,58.7401892
Height,2,36,45,2.6,58.36318112
Height,2,46,55,2.6,57.5197161
Height,2,56,65,2.6,57.36412546
Height,2,66,79,2.6,57.12743242
Height,2,80,99,2.6,56.60349513
Height,1,0,18,2.6,35.1968694
Height,1,18,25,2.6,63.32578223
Height,1,26,35,2.6,62.85523079
Height,1,36,45,2.6,62.69940394
Height,1,46,55,2.6,62.4948369
Height,1,56,65,2.6,62.82082132
Height,1,66,79,2.6,62.0079075
Height,1,80,99,2.6,61.15082042
Height,2,0,18,2.7,34.3700973
Height,2,18,25,2.7,58.46656701
Height,2,26,35,2.7,58.76983489
Height,2,36,45,2.7,58.4645985
Height,2,46,55,2.7,57.57625156
Height,2,56,65,2.7,57.39751131
Height,2,66,79,2.7,57.18199938
Height,2,80,99,2.7,56.64444004
Height,1,0,18,2.7,35.27072771
Height,1,18,25,2.7,63.39464053
Height,1,26,35,2.7,62.89747491
Height,1,36,45,2.7,62.73188427
Height,1,46,55,2.7,62.52113612
Height,1,56,65,2.7,62.91467964
Height,1,66,79,2.7,62.0079075
Height,1,80,99,2.7,61.20416691
Height,2,0,18,2.8,34.4094674
Height,2,18,25,2.8,58.51971664
Height,2,26,35,2.8,58.85404753
Height,2,36,45,2.8,58.4645985
Height,2,46,55,2.8,57.68318076
Height,2,56,65,2.8,57.43089715
Height,2,66,79,2.8,57.25247186
Height,2,80,99,2.8,56.70680228
Height,1,0,18,2.8,35.37356241
Height,1,18,25,2.8,63.45074292
Height,1,26,35,2.8,63.01499466
Height,1,36,45,2.8,62.75578192
Height,1,46,55,2.8,62.54743535
Height,1,56,65,2.8,62.94680564
Height,1,66,79,2.8,62.0079075
Height,1,80,99,2.8,61.25751339
